,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
1,1.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1
2,1.0,3.0,4.0,3.0,7.0,5.0,1.0,1.0,8.0,1.0,1.0,1
3,1.0,3.0,5.0,3.0,13.0,9.0,1.0,1.0,12.0,1.0,1.0,1
4,1.0,4.0,7.0,3.0,18.0,13.0,1.0,1.0,18.0,2.0,2.0,2
5,1.0,5.0,8.0,3.0,28.0,21.0,1.0,1.0,24.0,2.0,2.0,2
6,1.0,6.0,9.0,3.0,38.0,30.0,1.0,1.0,30.0,5.0,3.0,3
7,1.0,6.0,11.0,3.0,82.0,39.0,1.0,1.0,37.0,5.0,8.0,4
8,1.0,6.0,11.0,3.0,128.0,41.0,1.0,1.0,57.0,5.0,13.0,4
9,1.0,6.0,11.0,3.0,188.0,59.0,2.0,1.0,87.0,5.0,13.0,4
10,1.0,6.0,12.0,3.0,265.0,78.0,2.0,1.0,209.0,6.0,25.0,4
11,1.0,6.0,13.0,3.0,321.0,112.0,2.0,1.0,264.0,7.0,34.0,7
12,1.0,6.0,13.0,3.0,382.0,169.0,2.0,1.0,332.0,8.0,52.0,12
13,1.0,6.0,13.0,3.0,503.0,245.0,2.0,1.0,374.0,11.0,77.0,15
14,1.0,11.0,13.0,3.0,614.0,331.0,2.0,1.0,490.0,11.0,98.0,15
15,1.0,11.0,15.0,3.0,804.0,448.0,2.0,1.0,642.0,11.0,121.0,16
16,1.0,11.0,15.0,3.0,959.0,642.0,2.0,1.0,854.0,12.0,200.0,18
17,1.0,11.0,15.0,3.0,1135.0,785.0,2.0,1.0,1121.0,12.0,234.0,23
18,1.0,11.0,15.0,3.0,1413.0,1020.0,2.0,1.0,1359.0,12.0,291.0,24
19,1.0,11.0,15.0,3.0,1705.0,1280.0,2.0,1.0,2200.0,12.0,428.0,24
20,1.0,11.0,15.0,3.0,2051.0,1600.0,2.0,1.0,2200.0,12.0,621.0,25
21,1.0,11.0,15.0,3.0,2460.0,2060.0,2.0,1.0,2650.0,13.0,904.0,27
22,1.0,11.0,15.0,17.0,2994.0,2362.0,2.0,1.0,3010.0,13.0,1128.0,28
23,1.0,12.0,15.0,79.0,3631.0,2995.0,2.0,1.0,3888.0,14.0,1546.0,28
24,1.0,12.0,15.0,132.0,4204.0,3544.0,3.0,1.0,4840.0,15.0,1891.0,28
25,1.0,12.0,15.0,229.0,4749.0,4268.0,7.0,1.0,6077.0,15.0,2201.0,28
26,1.0,12.0,15.0,322.0,5560.0,5170.0,12.0,2.0,6971.0,15.0,2433.0,28
27,2.0,12.0,15.0,400.0,6412.0,5962.0,25.0,7.0,8015.0,15.0,2915.0,29
28,8.0,12.0,15.0,650.0,7431.0,6408.0,34.0,12.0,8789.0,15.0,3417.0,30
29,13.0,12.0,17.0,888.0,8603.0,7443.0,66.0,13.0,9714.0,15.0,3904.0,31
30,23.0,12.0,21.0,1128.0,9762.0,8251.0,83.0,14.0,10714.0,15.0,4256.0,46
31,50.0,12.0,47.0,1689.0,10866.0,9034.0,114.0,15.0,12104.0,16.0,4579.0,80
32,109.0,14.0,57.0,1835.0,11750.0,9886.0,151.0,24.0,13152.0,35.0,5717.0,155
33,169.0,17.0,111.0,2502.0,12595.0,,200.0,35.0,14274.0,35.0,6836.0,345
34,200.0,38.0,129.0,3089.0,13614.0,,261.0,61.0,15412.0,35.0,7910.0,601
35,239.0,57.0,157.0,3858.0,14697.0,,374.0,137.0,16108.0,53.0,9056.0,762
36,267.0,100.0,196.0,4636.0,15723.0,,430.0,161.0,17070.0,53.0,,892
37,314.0,130.0,262.0,5883.0,,,589.0,203.0,18844.0,59.0,,1146
38,399.0,178.0,400.0,7375.0,,,1204.0,248.0,19706.0,60.0,,1595
39,559.0,212.0,684.0,9172.0,,,1639.0,326.0,,66.0,,2022
40,689.0,285.0,847.0,10149.0,,,2140.0,462.0,,69.0,,2931
41,886.0,423.0,902.0,12462.0,,,3004.0,620.0,,89.0,,3526
42,1085.0,613.0,1139.0,15113.0,,,4231.0,775.0,,103.0,,4212
43,1243.0,716.0,1296.0,17660.0,,,5753.0,924.0,,125.0,,4812
44,1486.0,1126.0,1567.0,17750.0,,,7753.0,1032.0,,159.0,,5328
45,1795.0,1412.0,2369.0,23980.0,,,9191.0,1121.0,,233.0,,5766
