,China,France,Germany,Italy,Spain,United States,Brazil,South Korea
0,27,3.0,1.0,3.0,1.0,1.0,1.0,1.0
1,27,3.0,4.0,3.0,1.0,1.0,1.0,1.0
2,27,3.0,4.0,3.0,1.0,1.0,1.0,1.0
3,44,3.0,5.0,3.0,1.0,1.0,1.0,1.0
4,44,4.0,7.0,3.0,1.0,2.0,2.0,2.0
5,59,5.0,8.0,3.0,1.0,2.0,2.0,2.0
6,59,6.0,9.0,3.0,1.0,5.0,3.0,3.0
7,59,6.0,11.0,3.0,1.0,5.0,8.0,4.0
8,59,6.0,11.0,3.0,1.0,5.0,13.0,4.0
9,59,6.0,11.0,3.0,2.0,5.0,13.0,4.0
10,59,6.0,12.0,3.0,2.0,6.0,25.0,4.0
11,59,6.0,13.0,3.0,2.0,7.0,34.0,7.0
12,59,6.0,13.0,3.0,2.0,8.0,52.0,12.0
13,59,6.0,13.0,3.0,2.0,11.0,77.0,15.0
14,59,11.0,13.0,3.0,2.0,11.0,98.0,15.0
15,59,11.0,15.0,3.0,2.0,11.0,121.0,16.0
16,59,11.0,15.0,3.0,2.0,12.0,200.0,18.0
17,63,11.0,15.0,3.0,2.0,12.0,234.0,23.0
18,80,11.0,15.0,3.0,2.0,12.0,291.0,24.0
19,216,11.0,15.0,3.0,2.0,12.0,428.0,24.0
20,235,11.0,15.0,3.0,2.0,12.0,621.0,25.0
21,386,11.0,15.0,3.0,2.0,13.0,904.0,27.0
22,526,11.0,15.0,17.0,2.0,13.0,1128.0,28.0
23,623,12.0,15.0,79.0,2.0,14.0,1546.0,28.0
24,882,12.0,15.0,132.0,3.0,15.0,1891.0,28.0
25,1323,12.0,15.0,229.0,7.0,15.0,2201.0,28.0
26,1988,12.0,15.0,322.0,12.0,15.0,2433.0,28.0
27,2775,12.0,15.0,400.0,25.0,15.0,2915.0,29.0
28,4528,12.0,15.0,650.0,34.0,15.0,3417.0,30.0
29,5994,12.0,17.0,888.0,66.0,15.0,3904.0,31.0
30,7734,12.0,21.0,1128.0,83.0,15.0,4256.0,46.0
31,9714,12.0,47.0,1689.0,114.0,16.0,4579.0,80.0
32,11809,14.0,57.0,1835.0,151.0,35.0,5717.0,155.0
33,14399,17.0,111.0,2502.0,200.0,35.0,6836.0,345.0
34,17211,38.0,129.0,3089.0,261.0,35.0,7910.0,601.0
35,20448,57.0,157.0,3858.0,374.0,53.0,9056.0,762.0
36,24320,100.0,196.0,4636.0,430.0,53.0,,892.0
37,28047,130.0,262.0,5883.0,589.0,59.0,,1146.0
38,31207,178.0,400.0,7375.0,1204.0,60.0,,1595.0
39,34625,212.0,684.0,9172.0,1639.0,66.0,,2022.0
40,37232,285.0,847.0,10149.0,2140.0,69.0,,2931.0
41,40206,423.0,902.0,12462.0,3004.0,89.0,,3526.0
42,42696,613.0,1139.0,15113.0,4231.0,103.0,,4212.0
43,44724,716.0,1296.0,17660.0,5753.0,125.0,,4812.0
44,59865,1126.0,1567.0,17750.0,7753.0,159.0,,5328.0
45,64021,1412.0,2369.0,23980.0,9191.0,233.0,,5766.0
46,66559,1784.0,3062.0,27980.0,11178.0,338.0,,6284.0
47,68566,2281.0,3795.0,31506.0,13716.0,433.0,,6767.0
48,70618,2876.0,4838.0,35713.0,17147.0,554.0,,7134.0
49,72508,3661.0,6012.0,41035.0,19980.0,754.0,,7382.0
50,74258,4499.0,7156.0,47021.0,24926.0,1025.0,,7513.0
51,74652,5423.0,8198.0,53578.0,28572.0,1312.0,,7755.0
52,75543,6633.0,14138.0,59138.0,33089.0,1663.0,,7869.0
53,76369,7730.0,18187.0,63927.0,39673.0,2174.0,,7979.0
54,77016,9134.0,21463.0,69176.0,47610.0,2951.0,,8086.0
55,77234,10995.0,24774.0,74386.0,56188.0,3774.0,,8162.0
56,77749,12612.0,29212.0,80539.0,64059.0,4661.0,,8236.0
57,78159,14459.0,31554.0,86498.0,72248.0,6427.0,,8320.0
58,78598,16018.0,36508.0,92472.0,78797.0,9415.0,,8413.0
59,78927,19856.0,42288.0,97689.0,85195.0,14250.0,,8565.0
60,79355,22302.0,48582.0,101739.0,94417.0,19624.0,,8652.0
61,79929,25233.0,52547.0,105792.0,102136.0,26747.0,,8799.0
62,80134,29155.0,57298.0,110574.0,110238.0,35206.0,,8897.0
63,80261,32964.0,61913.0,115242.0,117710.0,46442.0,,8961.0
64,80380,37575.0,67366.0,119827.0,,55231.0,,9037.0
65,80497,40174.0,73522.0,,,69194.0,,9137.0
66,80667,44550.0,73522.0,,,85991.0,,9241.0
67,80768,52128.0,79696.0,,,104686.0,,9332.0
68,80814,56989.0,,,,124665.0,,9478.0
69,80859,59105.0,,,,143025.0,,9583.0
70,80879,,,,,164620.0,,9661.0
71,80908,,,,,189618.0,,9786.0
72,80932,,,,,216721.0,,9786.0
73,80954,,,,,245540.0,,9976.0
74,80973,,,,,277965.0,,10062.0
75,80995,,,,,,,10156.0
76,81020,,,,,,,
77,81063,,,,,,,
78,81086,,,,,,,
79,81130,,,,,,,
80,81229,,,,,,,
81,81281,,,,,,,
82,81346,,,,,,,
83,81484,,,,,,,
84,81553,,,,,,,
85,81631,,,,,,,
86,81733,,,,,,,
87,81827,,,,,,,
88,81946,,,,,,,
89,82059,,,,,,,
90,82157,,,,,,,
91,82241,,,,,,,
92,82295,,,,,,,
93,82395,,,,,,,
94,82465,,,,,,,
95,82527,,,,,,,
